Interval Duration,Data Packets,Min Data Gap
-0.23813777118495963,-0.23800178218407234,-0.2418747545504644
-0.2380580177837237,-0.23800178218407234,-0.25019274026114746
-0.2380696346352034,-0.23800178218407234,-0.2010692332939315
-0.23808066477701237,-0.23800178218407234,-0.22631734316231075
-0.2381101567164591,-0.23800178218407234,-0.23231479061971877
-0.23807589287169076,-0.23800178218407234,-0.2337038452079468
-0.2380793349017588,-0.23800178218407234,-0.2252714667664688
3.455224990785712,3.453366103240104,4.405542377649329
-0.23808543668233398,-0.23800178218407234,-0.2296837578114282
-0.23815451196756335,-0.23800178218407234,-0.2749669373876607
-0.2381189964754975,-0.23800178218407234,-0.23590999073042648
-0.2381085530433592,-0.23800178218407234,-0.24203817273731493
-0.23805891740521876,-0.23800178218407234,-0.18752186560403736
-0.23813487675058417,-0.23800178218407234,-0.23298480518580542
-0.23809212517257988,-0.23800178218407234,-0.242201590924165
-0.23801100278211235,-0.23800178218407234,-0.17626235253004818
-0.2381082792455129,-0.23800178218407234,-0.22538585949726372
-0.23804190282476875,-0.23800178218407234,-0.2170025065118409
-0.23809349416181147,-0.23800178218407234,-0.2016248551292228
-0.23801980342717272,-0.23800178218407234,-0.1755596543265914
-0.23808606250598272,-0.23800178218407234,-0.21871839747376948
-0.2381540817138048,-0.23800178218407234,-0.23350774338372662
-0.238119426729256,-0.23800178218407234,-0.2320860051581285
-0.2379966870661475,-0.23800178218407234,-0.1823088254435109
-0.23809392441556998,-0.23800178218407234,-0.20863549534510265
-0.23810479810146676,-0.23800178218407234,-0.23404702340033243
-0.23805085992574126,-0.23800178218407234,-0.18373056366910903
-0.23808195553828787,-0.23800178218407234,-0.2573831404825629
-0.2381013169574207,-0.23800178218407234,-0.22564732859622455
-0.23809251631236034,-0.23800178218407234,-0.23358945247715143
-0.2381166887507928,-0.23800178218407234,-0.24066545996777194
-0.23800955556492465,-0.23800178218407234,-0.1856915819113134
-0.23811242532718577,-0.23800178218407234,-0.2580531550486491
-0.23811575001531968,-0.23800178218407234,-0.2338672633947973
-0.23807546261793222,-0.23800178218407234,-0.21863668838034422
-0.23808610161996077,-0.23800178218407234,-0.20914209172433879
-0.2380447581451661,-0.23800178218407234,-0.19301271668220923
-0.23809556720264793,-0.23800178218407234,-0.249571751151116
-0.23800486188755912,-0.23800178218407234,-0.44392500077224
-0.23807546261793222,-0.23800178218407234,-0.2229019030571386
-0.23810280328858646,-0.23800178218407234,-0.2543925876632012
-0.23807859173617593,-0.23800178218407234,-0.24270818730340113
-0.2381375756150694,-0.23800178218407234,-0.23372018702663183
-0.23804921713866334,-0.23800178218407234,-0.1842535018670302
-0.23801436658422429,-0.23800178218407234,-0.19244075302823288
-0.23811203418740529,-0.23800178218407234,-0.20919111718039396
-0.23803673977966663,-0.23800178218407234,-0.18420447641097507
4.864940987100534,4.86708146361532,4.253040525680581
-0.23812505914209464,-0.23800178218407234,-0.23334432519687612
3.455325670165203,3.453366103240104,4.359180638039884
-0.2381930392359387,-0.23800178218407234,-0.23863907445082738
-0.23807100362443498,-0.23800178218407234,-0.2090767244495986
-0.2381072622820837,-0.23800178218407234,-0.219944033875147
-0.23809372884567975,-0.23800178218407234,-0.2109887172357478
-0.2380099467047051,-0.23800178218407234,-0.17639308707952814
-0.23804096408929562,-0.23800178218407234,-0.19307808395694945
-0.23812818826033832,-0.23800178218407234,-0.24084521997330707
-0.23803865636459093,-0.23800178218407234,-0.19217928392927253
-0.23807503236417374,-0.23800178218407234,-0.217492761072392
-0.23807530616202005,-0.23800178218407234,-0.21744373561633681
-0.2380445234612978,-0.23800178218407234,-0.22327776488689433
-0.23801475772400477,-0.23800178218407234,-0.17606625070582757
-0.2380961539123186,-0.23800178218407234,-0.2544252713005713
-0.23800517479938346,-0.23800178218407234,-0.18543011281235303
-0.2381112519078444,-0.23800178218407234,-0.23394897248822255
-0.23810824013153484,-0.23800178218407234,-0.22486292129934296
-0.23810096493161828,-0.23800178218407234,-0.22414388127720117
-0.2381316694043844,-0.23800178218407234,-0.24166231090755919
-0.2380812906006611,-0.23800178218407234,-0.20834134260877218
-0.23804436700538564,-0.23800178218407234,-0.20208242605240379
-0.23811093899602,-0.23800178218407234,-0.2291281359761369
-0.23801917760352398,-0.23800178218407234,-0.184041058224125
-0.238040455607581,-0.23800178218407234,-0.184041058224125
-0.23863138958790087,-0.23800178218407234,-0.4378948696774619
